title,rank,date,artist,url,region,chart,trend,streams,year
Si Me Tomo Una Cerveza,1,2020-12-12,"Migrantes, Alico",https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N,Peru,viral50,SAME_POSITION,,2020
Tusa,1,2020-01-05,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Argentina,viral50,SAME_POSITION,,2020
Gdzie jest biały węgorz ? (Zejście),1,2020-11-20,Cypis,https://open.spotify.com/track/4fNbS43X6yt4iWxLgRqwKa,Colombia,viral50,SAME_POSITION,,2020
Laxed – Siren Beat,1,2020-05-24,Jawsh 685,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ,Argentina,viral50,SAME_POSITION,,2020
Safaera,1,2020-03-13,"Bad Bunny, Jowell & Randy, Ñengo Flow",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,Peru,top200,SAME_POSITION,229307.0,2020
Moral of the Story,1,2020-02-21,Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,Mexico,viral50,SAME_POSITION,,2020
Oh Juliana,1,2020-09-26,Niack,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,Brazil,top200,SAME_POSITION,981071.0,2020
death bed (coffee for your head),1,2020-03-06,"Powfu, beabadoobee",https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,Colombia,viral50,SAME_POSITION,,2020
Caramelo,1,2020-07-22,Ozuna,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG,Uruguay,top200,MOVE_UP,19759.0,2020
Caramelo,1,2020-07-21,Ozuna,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG,Argentina,top200,SAME_POSITION,271519.0,2020
Tusa,1,2020-02-06,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Chile,top200,SAME_POSITION,401398.0,2020
Hawái,1,2020-08-17,Maluma,https://open.spotify.com/track/4uoR6qeWeuL4Qeu2qJzkuG,Colombia,top200,SAME_POSITION,79335.0,2020
Favorito,1,2020-04-23,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,Uruguay,viral50,SAME_POSITION,,2020
Dynamite,1,2020-09-22,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,Peru,viral50,SAME_POSITION,,2020
DÁKITI,1,2020-12-09,"Bad Bunny, Jhay Cortez",https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,Argentina,top200,SAME_POSITION,479102.0,2020
Liberdade Provisória - Ao Vivo,1,2020-03-21,Henrique & Juliano,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI,Brazil,top200,SAME_POSITION,612097.0,2020
Hawái,1,2020-09-14,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,Argentina,top200,SAME_POSITION,497931.0,2020
Tusa,1,2020-01-02,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Chile,viral50,SAME_POSITION,,2020
Tusa,1,2020-02-06,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Uruguay,top200,SAME_POSITION,32428.0,2020
Seguro Te Pierdo,1,2020-10-25,"Sergi, KID FLEX",https://open.spotify.com/track/09z12iI8PMeFdltykewNpt,Colombia,viral50,SAME_POSITION,,2020
Hawái,1,2020-10-12,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,Argentina,top200,SAME_POSITION,413759.0,2020
La Jeepeta - Remix,1,2020-06-07,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,Uruguay,top200,SAME_POSITION,17465.0,2020
Moral of the Story,1,2020-03-01,Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,Mexico,viral50,SAME_POSITION,,2020
L-Gante Rkt,1,2020-12-29,"Papu DJ, L-Gante",https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu,Argentina,viral50,SAME_POSITION,,2020
La Jeepeta - Remix,1,2020-07-01,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,Uruguay,top200,SAME_POSITION,15271.0,2020
Toosie Slide,1,2020-04-12,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,United States,top200,SAME_POSITION,1639983.0,2020
Toosie Slide,1,2020-04-15,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,United States,top200,SAME_POSITION,1722628.0,2020
Toosie Slide,1,2020-04-03,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,United States,top200,NEW_ENTRY,2251305.0,2020
The Box,1,2020-03-01,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,United States,top200,SAME_POSITION,2145340.0,2020
ROCKSTAR (feat. Roddy Ricch),1,2020-06-30,DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,United States,top200,SAME_POSITION,1500815.0,2020
Vibe,1,2020-02-24,Cookiee Kawaii,https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5,United States,viral50,SAME_POSITION,,2020
Brace Yourself,1,2020-08-11,zenorachi,https://open.spotify.com/track/6YMjTao59i1kRdmYlB33N8,United States,viral50,SAME_POSITION,,2020
WAP (feat. Megan Thee Stallion),1,2020-09-21,Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,United States,top200,SAME_POSITION,1518117.0,2020
ROCKSTAR (feat. Roddy Ricch),1,2020-05-12,DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,United States,top200,SAME_POSITION,1595049.0,2020
THE SCOTTS,1,2020-04-30,"THE SCOTTS, Travis Scott, Kid Cudi",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,United States,top200,SAME_POSITION,2120057.0,2020
THE SCOTTS,1,2020-05-03,"THE SCOTTS, Travis Scott, Kid Cudi",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,United States,top200,SAME_POSITION,1722617.0,2020
The Box,1,2020-02-24,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,United States,top200,SAME_POSITION,2111252.0,2020
Lets Link,1,2020-09-16,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,United States,viral50,SAME_POSITION,,2020
Rockin' Around The Christmas Tree,1,2020-12-20,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,United States,top200,SAME_POSITION,1501597.0,2020
Backyard Boy,1,2020-08-02,Claire Rosinkranz,https://open.spotify.com/track/0y9fkzOaaQy4Up22BGUbIp,United States,viral50,SAME_POSITION,,2020
DDLG,1,2020-07-24,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,United States,viral50,SAME_POSITION,,2020
